"Group","Variable","Units","Description"
"General", "WING AREA", "square feet", "Total wing area"
"General", "WING FLEX PCT:1", "percent over 100", "The current wing flex. Different values can be set for each wing (for example, during banking). Set an index of 1 for the left wing, and 2 for the right wing."
"General", "WING FLEX PCT:2", "percent over 100", "The current wing flex. Different values can be set for each wing (for example, during banking). Set an index of 1 for the left wing, and 2 for the right wing."
"General", "WING SPAN", "feet", "Total wing span"
"General", "YAW STRING ANGLE", "radians", "The yaw string angle. Yaw strings are attached to gliders as visible indicators of the yaw angle. An animation of this is not implemented in ESP."
"General", "YAW STRING PCT EXTENDED", "percent over 100", "Yaw string angle as a percentage"
"General", "ZERO LIFT ALPHA", "radians", "The angle of attack at which the wing has zero lift."
"Center Of Gravity", "CG AFT LIMIT", "percent over 100", "Most backward authorized position of the CG according to the POH."
"Center Of Gravity", "CG FWD LIMIT", "percent over 100", "Most forward authorized position of the CG according to the POH."
"Center Of Gravity", "CG MAX MACH", "mach", "Deprecated, do not use!"
"Center Of Gravity", "CG MIN MACH", "mach", "Deprecated, do not use!"
"Center Of Gravity", "CG PERCENT", "percent over 100", "Longitudinal CG position as a percent of reference chord"
"Center Of Gravity", "CG PERCENT LATERAL", "percent over 100", "Lateral CG position as a percent of reference chord"
"Center Of Gravity", "STATIC CG TO GROUND", "feet", "Static CG position with reference to the ground"
"Interactive Points", "INTERACTIVE POINT BANK", "degrees", "Interactive Point orientation: Bank"
"Interactive Points", "INTERACTIVE POINT HEADING", "degrees", "Interactive Point orientation: Heading"
"Interactive Points", "INTERACTIVE POINT JETWAY LEFT BEND", "percent", "Interactive Point Jetway constant, determining the desired left bend ratio of jetway hood"
"Interactive Points", "INTERACTIVE POINT JETWAY LEFT DEPLOYMENT", "degrees", "Interactive Point Jetway constant, determining the desired left deployment angle of jetway hood"
"Interactive Points", "INTERACTIVE POINT JETWAY RIGHT BEND", "percent", "Interactive Point Jetway constant, determining the desired right bend ratio of jetway hood"
"Interactive Points", "INTERACTIVE POINT JETWAY RIGHT DEPLOYMENT", "degrees", "Interactive Point Jetway constant, determining the desired right deployment angle of jetway hood"
"Interactive Points", "INTERACTIVE POINT JETWAY TOP HORIZONTAL", "percent", "Interactive Point Jetway constant, determining the desired top horizontal ratio of displacement of jetway hood"
"Interactive Points", "INTERACTIVE POINT JETWAY TOP VERTICAL", "percent", "Interactive Point Jetway constant, determining the desired top vertical ratio of displacement of jetway hood"
"Interactive Points", "INTERACTIVE POINT GOAL", "percent over 100", "The Interactive Point goal percentage of opening (if it's for a door) or percentage of deployment (if it's for a hose or cable)."
"Interactive Points", "INTERACTIVE POINT OPEN", "percent over 100", "Interactive Point current percentage of opening (if door) or deployment (if hose/cable)"
"Interactive Points", "INTERACTIVE POINT PITCH", "degrees", "Interactive Point orientation: Pitch"
"Interactive Points", "INTERACTIVE POINT POSX", "feet", "Interactive Point Position relative to datum reference point"
"Interactive Points", "INTERACTIVE POINT POSY", "feet", "Interactive Point Position relative to datum reference point"
"Interactive Points", "INTERACTIVE POINT POSZ", "feet", "Interactive Point Position relative to datum reference point"
"Interactive Points", "INTERACTIVE POINT TYPE", "enum", "The type of interactive point"
"Weight", "EMPTY WEIGHT", "pounds", "Empty weight of the aircraft"
"Weight", "EMPTY WEIGHT CROSS COUPLED MOI", "slugs per feet squared", "Empty weight cross coupled moment of inertia"
"Weight", "EMPTY WEIGHT PITCH MOI", "slugs per feet squared", "Empty weight pitch moment of inertia"
"Weight", "EMPTY WEIGHT ROLL MOI", "slugs per feet squared", "Empty weight roll moment of inertia"
"Weight", "EMPTY WEIGHT YAW MOI", "slugs per feet squared", "Empty weight yaw moment of inertia"
"Weight", "MAX GROSS WEIGHT", "pounds", "Maximum gross weight of the aircaft"
"Weight", "TOTAL WEIGHT", "pounds", "Total weight of the aircraft"
"Weight", "TOTAL WEIGHT CROSS COUPLED MOI", "slugs per feet squared", "Total weight cross coupled moment of inertia"
"Weight", "TOTAL WEIGHT PITCH MOI", "slugs per feet squared", "Total weight pitch moment of inertia"
"Weight", "TOTAL WEIGHT ROLL MOI", "slugs per feet squared", "Total weight roll moment of inertia"
"Weight", "TOTAL WEIGHT YAW MOI", "slugs per feet squared", "Total weight yaw moment of inertia"
"AIRCRAFT ENGINE VARIABLES", "BLEED AIR ENGINE:1", "bool", "Returns whether or not the indexed engine (see note) attempts to provide bleed air."
"AIRCRAFT ENGINE VARIABLES", "BLEED AIR ENGINE:2", "bool", "Returns whether or not the indexed engine (see note) attempts to provide bleed air."
"AIRCRAFT ENGINE VARIABLES", "BLEED AIR ENGINE:3", "bool", "Returns whether or not the indexed engine (see note) attempts to provide bleed air."
"AIRCRAFT ENGINE VARIABLES", "BLEED AIR ENGINE:4", "bool", "Returns whether or not the indexed engine (see note) attempts to provide bleed air."
"AIRCRAFT ENGINE VARIABLES", "BLEED AIR SOURCE CONTROL:1", "enum", "The bleed air system source controller for an indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "BLEED AIR SOURCE CONTROL:2", "enum", "The bleed air system source controller for an indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "BLEED AIR SOURCE CONTROL:3", "enum", "The bleed air system source controller for an indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "BLEED AIR SOURCE CONTROL:4", "enum", "The bleed air system source controller for an indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "COWL FLAPS", "percent over 100", "Deprecated, do not use!"
"AIRCRAFT ENGINE VARIABLES", "ENGINE MIXURE AVAILABLE", "bool", "True if engine mixture is available for prop engines. Deprecated, do not use (mixture is always available)!"
"AIRCRAFT ENGINE VARIABLES", "ENGINE PRIMER", "position", "The engine primer position."
"AIRCRAFT ENGINE VARIABLES", "ENGINE TYPE", "enum", "Engine type."
"AIRCRAFT ENGINE VARIABLES", "ENG ANTI ICE:1", "bool", "Anti-ice switch for the indexed engine (see note), true if enabled false otherwise."
"AIRCRAFT ENGINE VARIABLES", "ENG ANTI ICE:2", "bool", "Anti-ice switch for the indexed engine (see note), true if enabled false otherwise."
"AIRCRAFT ENGINE VARIABLES", "ENG ANTI ICE:3", "bool", "Anti-ice switch for the indexed engine (see note), true if enabled false otherwise."
"AIRCRAFT ENGINE VARIABLES", "ENG ANTI ICE:4", "bool", "Anti-ice switch for the indexed engine (see note), true if enabled false otherwise."
"AIRCRAFT ENGINE VARIABLES", "ENG COMBUSTION:1", "bool", "True if the indexed engine (see note) is running, false otherwise."
"AIRCRAFT ENGINE VARIABLES", "ENG COMBUSTION:2", "bool", "True if the indexed engine (see note) is running, false otherwise."
"AIRCRAFT ENGINE VARIABLES", "ENG COMBUSTION:3", "bool", "True if the indexed engine (see note) is running, false otherwise."
"AIRCRAFT ENGINE VARIABLES", "ENG COMBUSTION:4", "bool", "True if the indexed engine (see note) is running, false otherwise."
"AIRCRAFT ENGINE VARIABLES", "ENG CYLINDER HEAD TEMPERATURE:1", "rankine", "The indexed engine (see note) cylinder head temperature."
"AIRCRAFT ENGINE VARIABLES", "ENG CYLINDER HEAD TEMPERATURE:2", "rankine", "The indexed engine (see note) cylinder head temperature."
"AIRCRAFT ENGINE VARIABLES", "ENG CYLINDER HEAD TEMPERATURE:3", "rankine", "The indexed engine (see note) cylinder head temperature."
"AIRCRAFT ENGINE VARIABLES", "ENG CYLINDER HEAD TEMPERATURE:4", "rankine", "The indexed engine (see note) cylinder head temperature."
"AIRCRAFT ENGINE VARIABLES", "ENG EXHAUST GAS TEMPERATURE:1", "rankine", "Exhaust gas temperature for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "ENG EXHAUST GAS TEMPERATURE:2", "rankine", "Exhaust gas temperature for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "ENG EXHAUST GAS TEMPERATURE:3", "rankine", "Exhaust gas temperature for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "ENG EXHAUST GAS TEMPERATURE:4", "rankine", "Exhaust gas temperature for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "ENG EXHAUST GAS TEMPERATURE GES:1", "percent over 100", "Governed engine setting exhaust gas temperature for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "ENG EXHAUST GAS TEMPERATURE GES:2", "percent over 100", "Governed engine setting exhaust gas temperature for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "ENG EXHAUST GAS TEMPERATURE GES:3", "percent over 100", "Governed engine setting exhaust gas temperature for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "ENG EXHAUST GAS TEMPERATURE GES:4", "percent over 100", "Governed engine setting exhaust gas temperature for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "ENG FAILED:1", "bool", "Failure flag for the indexed engine (see note) that has failed."
"AIRCRAFT ENGINE VARIABLES", "ENG FAILED:2", "bool", "Failure flag for the indexed engine (see note) that has failed."
"AIRCRAFT ENGINE VARIABLES", "ENG FAILED:3", "bool", "Failure flag for the indexed engine (see note) that has failed."
"AIRCRAFT ENGINE VARIABLES", "ENG FAILED:4", "bool", "Failure flag for the indexed engine (see note) that has failed."
"AIRCRAFT ENGINE VARIABLES", "ENG FUEL FLOW BUG POSITION:1", "pounds per hour", "Fuel flow reference in pounds per hour for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "ENG FUEL FLOW BUG POSITION:2", "pounds per hour", "Fuel flow reference in pounds per hour for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "ENG FUEL FLOW BUG POSITION:3", "pounds per hour", "Fuel flow reference in pounds per hour for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "ENG FUEL FLOW BUG POSITION:4", "pounds per hour", "Fuel flow reference in pounds per hour for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "ENG FUEL FLOW GPH:1", "gallons per hour", "Engine fuel flow in gallons per hour for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "ENG FUEL FLOW GPH:2", "gallons per hour", "Engine fuel flow in gallons per hour for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "ENG FUEL FLOW GPH:3", "gallons per hour", "Engine fuel flow in gallons per hour for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "ENG FUEL FLOW GPH:4", "gallons per hour", "Engine fuel flow in gallons per hour for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "ENG FUEL FLOW PPH:1", "pounds per hour", "The indexed engine (see note) fuel flow in pounds per hour."
"AIRCRAFT ENGINE VARIABLES", "ENG FUEL FLOW PPH:2", "pounds per hour", "The indexed engine (see note) fuel flow in pounds per hour."
"AIRCRAFT ENGINE VARIABLES", "ENG FUEL FLOW PPH:3", "pounds per hour", "The indexed engine (see note) fuel flow in pounds per hour."
"AIRCRAFT ENGINE VARIABLES", "ENG FUEL FLOW PPH:4", "pounds per hour", "The indexed engine (see note) fuel flow in pounds per hour."
"AIRCRAFT ENGINE VARIABLES", "ENG FUEL FLOW PPH SSL:1", "pounds per hour", "Engine fuel flow in pounds per hour. Deprecated in favour of ENG FUEL FLOW PPH."
"AIRCRAFT ENGINE VARIABLES", "ENG FUEL FLOW PPH SSL:2", "pounds per hour", "Engine fuel flow in pounds per hour. Deprecated in favour of ENG FUEL FLOW PPH."
"AIRCRAFT ENGINE VARIABLES", "ENG FUEL FLOW PPH SSL:3", "pounds per hour", "Engine fuel flow in pounds per hour. Deprecated in favour of ENG FUEL FLOW PPH."
"AIRCRAFT ENGINE VARIABLES", "ENG FUEL FLOW PPH SSL:4", "pounds per hour", "Engine fuel flow in pounds per hour. Deprecated in favour of ENG FUEL FLOW PPH."
"AIRCRAFT ENGINE VARIABLES", "ENG HYDRAULIC PRESSURE:1", "psi", "The indexed engine (see note) hydraulic pressure."
"AIRCRAFT ENGINE VARIABLES", "ENG HYDRAULIC PRESSURE:2", "psi", "The indexed engine (see note) hydraulic pressure."
"AIRCRAFT ENGINE VARIABLES", "ENG HYDRAULIC PRESSURE:3", "psi", "The indexed engine (see note) hydraulic pressure."
"AIRCRAFT ENGINE VARIABLES", "ENG HYDRAULIC PRESSURE:4", "psi", "The indexed engine (see note) hydraulic pressure."
"AIRCRAFT ENGINE VARIABLES", "ENG HYDRAULIC QUANTITY:1", "percent over 100", "The indexed engine (see note)hydraulic fluid quantity, as a percentage of total capacity"
"AIRCRAFT ENGINE VARIABLES", "ENG HYDRAULIC QUANTITY:2", "percent over 100", "The indexed engine (see note)hydraulic fluid quantity, as a percentage of total capacity"
"AIRCRAFT ENGINE VARIABLES", "ENG HYDRAULIC QUANTITY:3", "percent over 100", "The indexed engine (see note)hydraulic fluid quantity, as a percentage of total capacity"
"AIRCRAFT ENGINE VARIABLES", "ENG HYDRAULIC QUANTITY:4", "percent over 100", "The indexed engine (see note)hydraulic fluid quantity, as a percentage of total capacity"
"AIRCRAFT ENGINE VARIABLES", "ENG MANIFOLD PRESSURE:1", "inhg", "The indexed engine (see note) manifold pressure."
"AIRCRAFT ENGINE VARIABLES", "ENG MANIFOLD PRESSURE:2", "inhg", "The indexed engine (see note) manifold pressure."
"AIRCRAFT ENGINE VARIABLES", "ENG MANIFOLD PRESSURE:3", "inhg", "The indexed engine (see note) manifold pressure."
"AIRCRAFT ENGINE VARIABLES", "ENG MANIFOLD PRESSURE:4", "inhg", "The indexed engine (see note) manifold pressure."
"AIRCRAFT ENGINE VARIABLES", "ENG MAX RPM", "number", "The indexed engine (see note) Maximum rpm."
"AIRCRAFT ENGINE VARIABLES", "ENG N1 RPM:1", "number", "The indexed engine (see note) N1 rpm."
"AIRCRAFT ENGINE VARIABLES", "ENG N1 RPM:2", "number", "The indexed engine (see note) N1 rpm."
"AIRCRAFT ENGINE VARIABLES", "ENG N1 RPM:3", "number", "The indexed engine (see note) N1 rpm."
"AIRCRAFT ENGINE VARIABLES", "ENG N1 RPM:4", "number", "The indexed engine (see note) N1 rpm."
"AIRCRAFT ENGINE VARIABLES", "ENG N2 RPM:1", "number", "The indexed engine (see note) N2 rpm."
"AIRCRAFT ENGINE VARIABLES", "ENG N2 RPM:2", "number", "The indexed engine (see note) N2 rpm."
"AIRCRAFT ENGINE VARIABLES", "ENG N2 RPM:3", "number", "The indexed engine (see note) N2 rpm."
"AIRCRAFT ENGINE VARIABLES", "ENG N2 RPM:4", "number", "The indexed engine (see note) N2 rpm."
"AIRCRAFT ENGINE VARIABLES", "ENG OIL PRESSURE:1", "psi", "The indexed engine (see note) oil pressure."
"AIRCRAFT ENGINE VARIABLES", "ENG OIL PRESSURE:2", "psi", "The indexed engine (see note) oil pressure."
"AIRCRAFT ENGINE VARIABLES", "ENG OIL PRESSURE:3", "psi", "The indexed engine (see note) oil pressure."
"AIRCRAFT ENGINE VARIABLES", "ENG OIL PRESSURE:4", "psi", "The indexed engine (see note) oil pressure."
"AIRCRAFT ENGINE VARIABLES", "ENG OIL QUANTITY:1", "percent over 100", "The indexed engine (see note) oil quantity as a percentage of full capacity."
"AIRCRAFT ENGINE VARIABLES", "ENG OIL QUANTITY:2", "percent over 100", "The indexed engine (see note) oil quantity as a percentage of full capacity."
"AIRCRAFT ENGINE VARIABLES", "ENG OIL QUANTITY:3", "percent over 100", "The indexed engine (see note) oil quantity as a percentage of full capacity."
"AIRCRAFT ENGINE VARIABLES", "ENG OIL QUANTITY:4", "percent over 100", "The indexed engine (see note) oil quantity as a percentage of full capacity."
"AIRCRAFT ENGINE VARIABLES", "ENG OIL TEMPERATURE:1", "rankine", "The indexed engine (see note) oil temperature."
"AIRCRAFT ENGINE VARIABLES", "ENG OIL TEMPERATURE:2", "rankine", "The indexed engine (see note) oil temperature."
"AIRCRAFT ENGINE VARIABLES", "ENG OIL TEMPERATURE:3", "rankine", "The indexed engine (see note) oil temperature."
"AIRCRAFT ENGINE VARIABLES", "ENG OIL TEMPERATURE:4", "rankine", "The indexed engine (see note) oil temperature."
"AIRCRAFT ENGINE VARIABLES", "ENG ON FIRE:1", "bool", "The indexed engine (see note) on fire state."
"AIRCRAFT ENGINE VARIABLES", "ENG ON FIRE:2", "bool", "The indexed engine (see note) on fire state."
"AIRCRAFT ENGINE VARIABLES", "ENG ON FIRE:3", "bool", "The indexed engine (see note) on fire state."
"AIRCRAFT ENGINE VARIABLES", "ENG ON FIRE:4", "bool", "The indexed engine (see note) on fire state."
"AIRCRAFT ENGINE VARIABLES", "ENG PRESSURE RATIO:1", "ratio", "The indexed engine (see note) pressure ratio."
"AIRCRAFT ENGINE VARIABLES", "ENG PRESSURE RATIO:2", "ratio", "The indexed engine (see note) pressure ratio."
"AIRCRAFT ENGINE VARIABLES", "ENG PRESSURE RATIO:3", "ratio", "The indexed engine (see note) pressure ratio."
"AIRCRAFT ENGINE VARIABLES", "ENG PRESSURE RATIO:4", "ratio", "The indexed engine (see note) pressure ratio."
"AIRCRAFT ENGINE VARIABLES", "ENG PRESSURE RATIO GES:1", "scalar", "Engine pressure ratio. Deprecated, do not use!"
"AIRCRAFT ENGINE VARIABLES", "ENG PRESSURE RATIO GES:2", "scalar", "Engine pressure ratio. Deprecated, do not use!"
"AIRCRAFT ENGINE VARIABLES", "ENG PRESSURE RATIO GES:3", "scalar", "Engine pressure ratio. Deprecated, do not use!"
"AIRCRAFT ENGINE VARIABLES", "ENG PRESSURE RATIO GES:4", "scalar", "Engine pressure ratio. Deprecated, do not use!"
"AIRCRAFT ENGINE VARIABLES", "ENG RPM ANIMATION PERCENT:1", "percent", "The indexed engine (see note) percentage maximum rated rpm - used for visual animation."
"AIRCRAFT ENGINE VARIABLES", "ENG RPM ANIMATION PERCENT:2", "percent", "The indexed engine (see note) percentage maximum rated rpm - used for visual animation."
"AIRCRAFT ENGINE VARIABLES", "ENG RPM ANIMATION PERCENT:3", "percent", "The indexed engine (see note) percentage maximum rated rpm - used for visual animation."
"AIRCRAFT ENGINE VARIABLES", "ENG RPM ANIMATION PERCENT:4", "percent", "The indexed engine (see note) percentage maximum rated rpm - used for visual animation."
"AIRCRAFT ENGINE VARIABLES", "ENG RPM SCALER:1", "scalar", "RPM scalar value. Deprecated, do not use!"
"AIRCRAFT ENGINE VARIABLES", "ENG RPM SCALER:2", "scalar", "RPM scalar value. Deprecated, do not use!"
"AIRCRAFT ENGINE VARIABLES", "ENG RPM SCALER:3", "scalar", "RPM scalar value. Deprecated, do not use!"
"AIRCRAFT ENGINE VARIABLES", "ENG RPM SCALER:4", "scalar", "RPM scalar value. Deprecated, do not use!"
"AIRCRAFT ENGINE VARIABLES", "ENG TORQUE:1", "foot pounds", "The indexed engine (see note) torque."
"AIRCRAFT ENGINE VARIABLES", "ENG TORQUE:2", "foot pounds", "The indexed engine (see note) torque."
"AIRCRAFT ENGINE VARIABLES", "ENG TORQUE:3", "foot pounds", "The indexed engine (see note) torque."
"AIRCRAFT ENGINE VARIABLES", "ENG TORQUE:4", "foot pounds", "The indexed engine (see note) torque."
"AIRCRAFT ENGINE VARIABLES", "ENG VIBRATION:1", "number", "The indexed engine (see note) vibration."
"AIRCRAFT ENGINE VARIABLES", "ENG VIBRATION:2", "number", "The indexed engine (see note) vibration."
"AIRCRAFT ENGINE VARIABLES", "ENG VIBRATION:3", "number", "The indexed engine (see note) vibration."
"AIRCRAFT ENGINE VARIABLES", "ENG VIBRATION:4", "number", "The indexed engine (see note) vibration."
"AIRCRAFT ENGINE VARIABLES", "ESTIMATED FUEL FLOW:1", "pounds per hour", "Estimated fuel flow to the indexed engine (see note) at cruise speed."
"AIRCRAFT ENGINE VARIABLES", "ESTIMATED FUEL FLOW:2", "pounds per hour", "Estimated fuel flow to the indexed engine (see note) at cruise speed."
"AIRCRAFT ENGINE VARIABLES", "ESTIMATED FUEL FLOW:3", "pounds per hour", "Estimated fuel flow to the indexed engine (see note) at cruise speed."
"AIRCRAFT ENGINE VARIABLES", "ESTIMATED FUEL FLOW:4", "pounds per hour", "Estimated fuel flow to the indexed engine (see note) at cruise speed."
"AIRCRAFT ENGINE VARIABLES", "FULL THROTTLE THRUST TO WEIGHT RATIO", "number", "Full throttle thrust to weight ratio"
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG ANTI ICE POSITION:1", "bool", "The indexed engine (see note) anti-ice switch state - 0 (FALSE) is off and 1 (TRUE) is on."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG ANTI ICE POSITION:2", "bool", "The indexed engine (see note) anti-ice switch state - 0 (FALSE) is off and 1 (TRUE) is on."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG ANTI ICE POSITION:3", "bool", "The indexed engine (see note) anti-ice switch state - 0 (FALSE) is off and 1 (TRUE) is on."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG ANTI ICE POSITION:4", "bool", "The indexed engine (see note) anti-ice switch state - 0 (FALSE) is off and 1 (TRUE) is on."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG COMBUSTION:1", "bool", "The indexed engine (see note) combustion flag."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG COMBUSTION:2", "bool", "The indexed engine (see note) combustion flag."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG COMBUSTION:3", "bool", "The indexed engine (see note) combustion flag."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG COMBUSTION:4", "bool", "The indexed engine (see note) combustion flag."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG COMBUSTION EX1:1", "bool", "Similar to GENERAL ENG COMBUSTION, except that when it is set it only affects the combustion flag."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG COMBUSTION EX1:2", "bool", "Similar to GENERAL ENG COMBUSTION, except that when it is set it only affects the combustion flag."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG COMBUSTION EX1:3", "bool", "Similar to GENERAL ENG COMBUSTION, except that when it is set it only affects the combustion flag."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG COMBUSTION EX1:4", "bool", "Similar to GENERAL ENG COMBUSTION, except that when it is set it only affects the combustion flag."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG COMBUSTION SOUND PERCENT:1", "percent", "Percent of maximum sound being created by the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG COMBUSTION SOUND PERCENT:2", "percent", "Percent of maximum sound being created by the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG COMBUSTION SOUND PERCENT:3", "percent", "Percent of maximum sound being created by the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG COMBUSTION SOUND PERCENT:4", "percent", "Percent of maximum sound being created by the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG DAMAGE PERCENT:1", "percent", "Percent of total damage to the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG DAMAGE PERCENT:2", "percent", "Percent of total damage to the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG DAMAGE PERCENT:3", "percent", "Percent of total damage to the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG DAMAGE PERCENT:4", "percent", "Percent of total damage to the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG ELAPSED TIME:1", "hours", "Total elapsed time since the indexed engine (see note) was started."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG ELAPSED TIME:2", "hours", "Total elapsed time since the indexed engine (see note) was started."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG ELAPSED TIME:3", "hours", "Total elapsed time since the indexed engine (see note) was started."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG ELAPSED TIME:4", "hours", "Total elapsed time since the indexed engine (see note) was started."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG EXHAUST GAS TEMPERATURE:1", "rankine", "The indexed engine (see note) exhaust gas temperature."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG EXHAUST GAS TEMPERATURE:2", "rankine", "The indexed engine (see note) exhaust gas temperature."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG EXHAUST GAS TEMPERATURE:3", "rankine", "The indexed engine (see note) exhaust gas temperature."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG EXHAUST GAS TEMPERATURE:4", "rankine", "The indexed engine (see note) exhaust gas temperature."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FAILED:1", "bool", "The indexed engine (see note) fail flag."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FAILED:2", "bool", "The indexed engine (see note) fail flag."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FAILED:3", "bool", "The indexed engine (see note) fail flag."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FAILED:4", "bool", "The indexed engine (see note) fail flag."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FIRE DETECTED:1", "bool", "Detects if a fire has been detected in an indexed engine (see note) or not. If 0 (FALSE) no fire has been detected and if 1 (TRUE) then it has."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FIRE DETECTED:2", "bool", "Detects if a fire has been detected in an indexed engine (see note) or not. If 0 (FALSE) no fire has been detected and if 1 (TRUE) then it has."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FIRE DETECTED:3", "bool", "Detects if a fire has been detected in an indexed engine (see note) or not. If 0 (FALSE) no fire has been detected and if 1 (TRUE) then it has."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FIRE DETECTED:4", "bool", "Detects if a fire has been detected in an indexed engine (see note) or not. If 0 (FALSE) no fire has been detected and if 1 (TRUE) then it has."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FUEL PRESSURE:1", "psi", "The indexed engine (see note) fuel pressure."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FUEL PRESSURE:2", "psi", "The indexed engine (see note) fuel pressure."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FUEL PRESSURE:3", "psi", "The indexed engine (see note) fuel pressure."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FUEL PRESSURE:4", "psi", "The indexed engine (see note) fuel pressure."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FUEL PUMP ON:1", "bool", "Whether the indexed engine (see note) fuel pump on (1, TRUE) or off (0, FALSE)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FUEL PUMP ON:2", "bool", "Whether the indexed engine (see note) fuel pump on (1, TRUE) or off (0, FALSE)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FUEL PUMP ON:3", "bool", "Whether the indexed engine (see note) fuel pump on (1, TRUE) or off (0, FALSE)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FUEL PUMP ON:4", "bool", "Whether the indexed engine (see note) fuel pump on (1, TRUE) or off (0, FALSE)."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FUEL PUMP SWITCH:1", "bool", "Fuel pump switch state the indexed engine (see note). If 0 (FALSE) the pump is off and if 1 (TRUE) then it is on."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FUEL PUMP SWITCH:2", "bool", "Fuel pump switch state the indexed engine (see note). If 0 (FALSE) the pump is off and if 1 (TRUE) then it is on."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FUEL PUMP SWITCH:3", "bool", "Fuel pump switch state the indexed engine (see note). If 0 (FALSE) the pump is off and if 1 (TRUE) then it is on."
"AIRCRAFT ENGINE VARIABLES", "GENERAL ENG FUEL PUMP SWITCH:4", "bool", "Fuel pump switch state the indexed engine (see note). If 0 (FALSE) the pump is off and if 1 (TRUE) then it is on."
